Title,Release Date,Genre,Revenue,Budget
The Duff,2015-02-12,Comedy,8500000.0,43500000.0
The East,2013-05-31,Crime,6500000.0,2400000.0
The Equalizer,2014-09-07,Thriller,55000000.0,192300000.0
The Expendables 2,2012-08-17,Action,100000000.0,305400000.0
The Expendables 3,2014-08-04,Action,90000000.0,206200000.0
The Family,2013-09-13,Crime,30000000.0,78400000.0
The Fault in Our Stars,2014-05-16,Drama,13000000.0,307200000.0
The Five-Year Engagement,2012-04-27,Comedy,30000000.0,53900000.0
The Forest,2016-01-08,Horror,10000000.0,37600000.0
The Gift,2015-07-30,Thriller,5000000.0,59000000.0
The Giver,2014-08-11,Sci-Fi,25000000.0,67000000.0
The Grand Budapest Hotel,2014-02-06,Comedy,23000000.0,174800000.0
The Great Gatsby,2013-05-10,Drama,105000000.0,351000000.0
The Grey,2012-01-27,Action,25000000.0,77300000.0
The Gunman,2015-03-20,Thriller,40000000.0,24200000.0
The Hangover Part III,2013-05-23,Comedy,103000000.0,362000000.0
The Hateful Eight,2015-12-25,Drama,44000000.0,155800000.0
The Heat,2013-06-28,Action,43000000.0,229900000.0
The Hobbit: The Battle of the Five Armies,2014-12-01,Adventure,250000000.0,956000000.0
The Host,2013-03-29,Sci-Fi,40000000.0,63300000.0
The Hundred-Foot Journey,2014-08-08,Drama,22000000.0,88900000.0
The Hunger Games,2012-03-23,Action,78000000.0,694400000.0
The Hunger Games: Mockingjay – Part 1,2014-11-10,Sci-Fi,125000000.0,755400000.0
The Hunger Games: Mockingjay – Part 2,2015-11-04,Sci-Fi,160000000.0,653400000.0
The Huntsman: Winter's War,2016-04-22,Fantasy,115000000.0,164600000.0
The Iceman,2013-05-03,Drama,10000000.0,4400000.0
The Identical,2014-04-17,Religious,16000000.0,2800000.0
The Imitation Game,2014-08-29,Drama,14000000.0,233600000.0
The Impossible,2012-12-21,Drama,45000000.0,180300000.0
The Incredible Burt Wonderstone,2013-03-15,Comedy,34000000.0,27400000.0
The Infiltrator,2016-07-13,Drama,47500000.0,15200000.0
The Intern,2015-09-15,Comedy,44000000.0,194600000.0
The Internship,2013-06-07,Comedy,58000000.0,93000000.0
The Interview,2014-12-11,Action,44000000.0,11300000.0
The Judge,2014-09-04,Comedy,50000000.0,84400000.0
The Lady in the Van,2015-12-04,Comedy,6000000.0,41400000.0
The Last Exorcism Part II,2013-03-01,Horror,5000000.0,15100000.0
The Last Stand,2013-01-18,Action,45000000.0,48300000.0
The Last Witch Hunter,2015-10-23,Action,90000000.0,140400000.0
